player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
F du Plessis,4571,3435,422,166,0,6,16,133.07132459970887,16.0,5337,0,5337
RA Tripathi,2236,1650,223,84,0,6,12,135.51515151515153,12.0,2639,0,2639
NV Ojha,1554,1360,121,79,0,0,0,114.26470588235291,,1843,0,1843
V Shankar,1115,890,80,45,12,258,344,125.2808988764045,8.0,1297,306,1603
Mustafizur Rahman,13,23,0,1,70,1353,1792,56.52173913043478,7.946784922394679,15,1756,1771
UT Yadav,208,211,16,9,163,3190,4442,98.5781990521327,8.354858934169279,250,4079,4329
C de Grandhomme,303,229,18,18,7,230,323,132.31441048034935,8.426086956521738,369,179,548
I Sharma,57,71,4,2,96,2429,3255,80.28169014084507,8.04034582132565,69,2404,2473
V Kohli,8014,6236,708,273,5,264,371,128.51186658114176,8.431818181818182,9280,129,9409
S Badree,13,25,0,0,11,263,329,52.0,7.505703422053232,13,281,294
AJ Tye,91,79,6,5,48,714,1005,115.18987341772151,8.445378151260504,113,1204,1317
RA Jadeja,2959,2378,215,107,169,3895,4917,124.4322960470984,7.574326059050064,3400,4231,7631
Ankit Sharma,87,69,7,4,12,375,453,126.08695652173914,7.248,110,306,416
SN Thakur,307,228,27,13,100,1979,2908,134.64912280701756,8.816574027286508,372,2504,2876
LH Ferguson,68,48,6,2,57,1002,1451,141.66666666666669,8.688622754491018,88,1429,1517
KC Cariappa,24,21,0,2,8,224,349,114.28571428571428,9.348214285714285,30,202,232
SS Iyer,3131,2545,272,113,0,6,7,123.02554027504912,7.0,3641,0,3641
EJG Morgan,1406,1181,112,64,0,0,0,119.05165114309906,,1656,0,1656
Ishan Kishan,2644,1991,255,119,0,0,0,132.79758915118032,,3149,0,3149
MM Patel,39,41,5,0,82,1382,1733,95.1219512195122,7.523878437047757,44,2056,2100
AF Milne,23,31,0,1,9,217,339,74.19354838709677,9.373271889400922,25,227,252
JD Unadkat,197,170,16,7,109,2194,3219,115.88235294117648,8.803099361896079,237,2729,2966
NM Coulter-Nile,82,75,7,4,52,892,1125,109.33333333333331,7.567264573991032,103,1306,1409
AD Mathews,724,599,44,29,28,807,1095,120.86811352253756,8.141263940520446,838,704,1542
Mohammed Shami,74,82,6,2,144,2521,3486,90.2439024390244,8.296707655692185,88,3604,3692
Mohammad Nabi,221,157,18,12,15,419,527,140.76433121019107,7.5465393794749405,277,381,658
BB Sran,10,14,0,0,20,516,767,71.42857142857143,8.918604651162791,10,504,514
S Kaul,20,36,1,0,63,1238,1772,55.55555555555556,8.588045234248789,21,1579,1600
J Yadav,40,38,2,1,9,398,447,105.26315789473684,6.738693467336684,46,233,279
KS Williamson,2132,1734,187,64,0,18,31,122.95271049596307,10.333333333333334,2459,0,2459
Mohammed Siraj,109,122,10,4,96,2081,2894,89.34426229508196,8.34406535319558,135,2404,2539
SE Marsh,2489,1913,269,78,0,0,0,130.10977522216413,,2926,0,2926
JP Faulkner,527,406,36,23,76,1287,1849,129.80295566502463,8.62004662004662,621,1904,2525
Shakib Al Hasan,795,665,73,21,71,1515,1864,119.54887218045114,7.3821782178217825,920,1781,2701
K Rabada,206,207,16,8,126,1907,2652,99.51690821256038,8.34399580492921,246,3154,3400
MG Johnson,167,168,10,7,66,1301,1740,99.40476190476193,8.024596464258263,199,1654,1853
Washington Sundar,378,341,32,9,39,1064,1335,110.85043988269794,7.5281954887218046,438,981,1419
