player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
MG Johnson,167,168,10,7,66,1301,1740,99.40476190476191,8.024596464258263
Washington Sundar,378,341,32,9,39,1064,1335,110.85043988269794,7.5281954887218046
SS Agarwal,0,0,0,0,1,24,42,,10.5
NB Singh,0,0,0,0,1,25,18,,4.319999999999999
AD Nath,90,99,7,2,0,0,0,90.9090909090909,
KV Sharma,351,306,20,17,82,1520,2130,114.70588235294117,8.407894736842104
DM Bravo,6,5,1,0,0,0,0,120.0,
Ankit Soni,7,9,0,1,4,112,145,77.77777777777779,7.767857142857142
AR Bawne,12,12,1,0,0,0,0,100.0,
SP Jackson,61,57,5,1,0,0,0,107.01754385964912,
Anureet Singh,36,47,2,1,21,430,636,76.59574468085107,8.874418604651162
MJ Guptill,271,197,24,15,0,0,0,137.56345177664974,
IK Pathan,1150,985,88,38,99,2113,2711,116.75126903553299,7.698059630856601
PJ Sangwan,26,47,1,0,44,905,1267,55.319148936170215,8.4
MN Samuels,161,174,9,7,10,219,285,92.52873563218391,7.808219178082192
LMP Simmons,1079,878,109,44,1,18,34,122.89293849658314,11.333333333333334
R Tewatia,1013,788,84,47,36,866,1117,128.55329949238578,7.739030023094688
MJ Henry,0,0,0,0,3,105,183,,10.457142857142857
SS Tiwary,1494,1291,111,50,0,0,0,115.72424477149497,
R Vinay Kumar,310,289,21,9,127,2186,3041,107.26643598615917,8.346752058554438
Avesh Khan,41,25,3,3,81,1390,2010,164.0,8.676258992805757
HV Patel,249,214,16,15,151,2284,3215,116.35514018691589,8.44570928196147
CJ Jordan,81,81,3,3,36,717,1111,100.0,9.297071129707113
IR Jaggi,76,100,6,0,0,0,0,76.0,
E Lewis,654,499,62,36,0,0,0,131.06212424849699,
MA Wood,12,10,1,1,11,127,192,120.0,9.070866141732283
DJ Bravo,1560,1247,120,66,207,3296,4436,125.10024057738573,8.075242718446601
M Markande,48,44,5,1,37,737,1081,109.09090909090908,8.800542740841248
C Munro,177,144,19,8,0,12,15,122.91666666666667,7.5
R Ashwin,800,698,61,28,198,4679,5435,114.61318051575931,6.969437914084206
Mujeeb Ur Rahman,12,15,2,0,20,452,598,80.0,7.938053097345133
KL Rahul,4689,3578,400,187,0,0,0,131.05086640581328,
Q de Kock,3160,2410,316,123,0,0,0,131.12033195020746,
AD Russell,2488,1515,171,209,125,1771,2691,164.22442244224422,9.116883116883116
SN Khan,585,456,63,14,0,2,6,128.28947368421052,18.0
K Khejroliya,0,0,0,0,5,129,221,,10.279069767441861
RK Singh,893,654,67,46,0,0,0,136.54434250764527,
